group,root,name,type,size,dimensions,units,notes,schema_version
variable,ROOT/acc/<SENSOR_ID>,velocity_mms,float32,N_acc_time_sensor x 3,(acc_time; acc_axis),mm/s,Velocity time series (x y z); free-field sensors only (e.g. MP1-MP13),v1
variable,ROOT/acc/<SENSOR_ID>,acceleration_g,float32,N_acc_time_sensor x 3,(acc_time; acc_axis),g,Acceleration time series (x y z) in g; in-track sensors only (e.g. MP14-MP19); mutually exclusive with velocity_mms,v2
variable,ROOT/meta_fo,fo_reader,string,scalar,,-,FO reader type (for example optasense); only when FO found,v1
variable,ROOT/meta_fo,fo_file_count,int32,scalar,,-,Number of concatenated FO files,v1
variable,ROOT/meta_fo,acquisition_id,string,scalar,,-,FO acquisition ID from file metadata when available,v1
variable,ROOT/meta_fo,gauge_length,float32,scalar,,-,FO gauge length from file metadata or manual fallback,v1
variable,ROOT/meta_fo,gauge_length_unit,string,scalar,,-,Unit for gauge_length,v1
variable,ROOT/meta_fo,spatial_sampling_interval,float32,scalar,,-,FO spatial sampling interval from file metadata or manual fallback,v1
variable,ROOT/meta_fo,spatial_sampling_interval_unit,string,scalar,,-,Unit for spatial_sampling_interval,v1
variable,ROOT/meta_fo,raw_data_unit,string,scalar,,-,Raw FO data unit from file metadata,v1
variable,ROOT/meta_fo,raw_description,string,scalar,,-,Raw FO data description from file metadata,v1
variable,ROOT/meta_fo,fibre_refractive_index,float32,scalar,,-,Fibre refractive index from file metadata,v1
variable,ROOT/meta_fo,number_of_measurements,int32,scalar,,-,Number of FO samples in source measurement,v1
variable,ROOT/geometry_fo,centre_fo_channel,int32,scalar,,-,Configured center FO channel,v1
variable,ROOT/geometry_fo,fo_channel_half_window,int32,scalar,,-,Channels taken on each side of center,v1
variable,ROOT/geometry_fo,fo_side_of_track,int8,scalar,,-,Convention: -1 left 0 unknown +1 right,v1
variable,ROOT/geometry_fo,fo_aprox_distance_to_track_m,float32,scalar,,m,Approximate FO distance to track centerline,v1
variable,ROOT/geometry_fo,fo_channel_id,int32,N_fo_channel,(fo_channel),-,Absolute channel numbers,v1
variable,ROOT/geometry_fo,fo_channel_position_m,float32,N_fo_channel,(fo_channel),-,Currently literal channel values no distance conversion,v1
variable,ROOT/geometry_fo,fo_channel_spacing_m,float32,scalar,,m,Optional from FO metadata when available,v1
variable,ROOT/geometry_fo,fo_gauge_length_m,float32,scalar,,m,Optional from FO metadata when available,v1
variable,ROOT/geometry_fo,fo_first_channel,int32,scalar,,-,First absolute FO channel index selected from the DAS array; optional,v2
variable,ROOT/geometry_fo,fo_last_channel,int32,scalar,,-,Last absolute FO channel index selected from the DAS array; optional,v2
dimension,ROOT/fo,fo_time,int dimension,N_fo_time,fo_time,-,FO time samples in event window,v1
variable,ROOT/fo,time_s,float64,N_fo_time,(fo_time),s,Relative to event_t0_utc,v1
variable,ROOT/fo,fs_hz,float32,scalar,,Hz,FO sampling frequency,v1
variable,ROOT/fo,strain,float32,N_fo_time x N_fo_channel,(fo_time; fo_channel),-,Raw FO strain window around center channel,v1
